From,To,Node,Site ID,Site Name,Description,Av Speed,85th %ile,24 Hour,Total
,,,,,,(km/h),(km/h),,
2023-03-01,2023-03-31,SAUDI,10012460.0,10012460.0,Al Baha to Makhwa Road, -, -, -, -
2023-03-01,2023-03-31,SAUDI,10020150.0,10020150.0,Baljuraishi to Al Baha Road - Transfered, -, -, -, -
2023-03-01,2023-03-31,SAUDI,10020151.0,10020151.0,Al Baha to Baljuraishi Road - Transferred, -, -, -, -
2023-03-01,2023-03-31,SAUDI,10023400.0,10023400.0,Al Baha to Al Aqiq Road - Road No. 3400 - Transferred, -, -, -, -
2023-03-01,2023-03-31,SAUDI,10023401.0,10023401.0,Al Aqiq to Al Baha Road - Road No. 3400 - Transferred, -, -, -, -
2023-03-01,2023-03-31,SAUDI,10023410.0,10023410.0,"Jarab to Aqiq Road, Road No. 3410",76.4,96,1196,37082
2023-03-01,2023-03-31,SAUDI,10030150.0,10030150.0,Taif to Al Baha Road,100.9,118,1556,14068
2023-03-01,2023-03-31,SAUDI,10030151.0,10030151.0,Al Baha to Taif Road,104.2,119,2603,80688
2023-03-01,2023-03-31,SAUDI,10032050.0,10032050.0,Al Baha to Mandaq Road,50.9,61,4728,146568
2023-03-01,2023-03-31,SAUDI,10033590.0,10033590.0,Taif to Al Aqiq Road (3509),98.8,118,712,22062
2023-03-01,2023-03-31,SAUDI,10100100.0,10100100.0,Wadi Ad Dawaser to Khamis Museyt Road,92.9,122,3605,93270
2023-03-01,2023-03-31,SAUDI,10200100.0,10200100.0,Wadi Ad Dawaser to Riyadh Road,87.7,104,880,27276
2023-03-01,2023-03-31,SAUDI,10200101.0,10200101.0,Riyadh to Wadi Ad Dawasir Road,82.4,104,1341,41536
2023-03-01,2023-03-31,SAUDI,10305170.0,10305170.0,Riyadh to Al Kharj Road,104.1,125,12156,353345
2023-03-01,2023-03-31,SAUDI,10305171.0,10305171.0,Al Kharj to Riyadh Road,105.5,123,22790,706493
2023-03-01,2023-03-31,SAUDI,10405130.0,10405130.0,Riyadh to Al Kharj Road (Eastern Ring Road Extension) - Transferred, -, -, -, -
